title,author,lent_by,lent_since,lent_times,year,catalogued,location,excerpt
Unbelievable Anecdote of the Witches,Melissa Blake,,,1,The 6th year after Squid,year 0413 in the 8th month,Great Hall: middle shelve. 15m from the end,Fear fast week far discussion identify possible.
Fantastical Narrative of the Dungeon Dimensions,Foremost Patrician Theresa Turner,Bill Kim,year 0010 in the 11th month,4,The 13th year after Mended Drum,year 0342 in the 6th month,Great Hall: top shelve. 1m from the end,Present night list six trouble style.
Dauntless Furlough of the Golems,Mastermagician Kevin Wilson,Tracy Reyes,year -451 in the 7th month,2,The 5th year after Wizzard's Hat,year -203 in the 3rd month,Mended Drum: top shelve. 10m from the end,Operation moment ability much exactly.
Puzzling Narrative of the Golems,Supreme Archchancellor Jenny Lewis,,,2,The 6th year after Squid,year 0422 in the 7th month,Dungeon Dimensions: middle shelve. 15m from the start,Tonight page body report.
Comical Legend of the Patrician,Mastermagician David Rangel,Angela Reese,year 0130 in the 7th month,5,The 14th year after Patrician's Eyebrow,year 0368 in the 11th month,Dungeon Dimensions: top shelve. 4m from the end,Film soon doctor could day.
Spectacular Allegory of the Nac Mac Feegle,Supreme Archchancellor Thomas Daniels,George Shah,year -490 in the 4th month,0,The 9th year after Klatchian Coffee,year -168 in the 10th month,Tower of Art: top shelve. 7m from the end,Vote floor over again ever.
Incredible Escapade of the Lancre,Mastermagician Megan Stone,Joshua Prince,year 0595 in the 8th month,8,The 10th year after Seamstress's Secrets,year 0858 in the 11th month,Mended Drum: bottom shelve. 5m from the end,Loss himself push here occur cause.
Unbelievable Epic of the Trolls,Foremost Patrician Robin Coleman,,,42,The 3rd year after Assassin's Guild,year 0627 in the 9th month,Dungeon Dimensions: middle shelve. 6m from the end,Hit media discussion contain reality actually.
Puzzling Myth of the City Watch,Foremost Patrician Stephanie Owens,Anne Flynn,year 0027 in the 7th month,7,The 10th year after Assassin's Guild,year 0652 in the 11th month,Dungeon Dimensions: bottom shelve. 7m from the end,Build among accept front economy production too.
Eccentric Conundrum of the Witches,Chief Scrivener John Turner,Christopher Aguilar,year -298 in the 3rd month,4,The 4th year after Bursar's Sanity,year 0414 in the 7th month,Tower of Art: middle shelve. 4m from the start,Although practice his impact world treat husband.
Spectacular Chronicle of the Dungeon Dimensions,Lead Alchemist Michael Briggs Jr.,Dr. Shawn Ayala,year -340 in the 7th month,6,The 6th year after Imp-powered Devices,year 0501 in the 7th month,Tower of Art: bottom shelve. 15m from the start,Happen trip the west.
Bizarre Romance of the Nac Mac Feegle,Supreme Archchancellor Richard Turner,Sarah Miller,year -401 in the 7th month,7,The 9th year after Seamstress's Guild,year -394 in the 8th month,Great Hall: top shelve. 3m from the start,Democrat recognize crime close happy.
Unbelievable Tale of Magic,Foremost Patrician Sonya Taylor,,,8,The 11th year after Bursar's Sanity,year 0932 in the 7th month,Restricted Section: top shelve. 14m from the end,But on respond.
Bizarre Journey of the Counterweight Continent,Imperial Assassin David Mccann MD,,,6,The 10th year after Hedgehog,year 0211 in the 3rd month,Mended Drum: top shelve. 8m from the end,Mouth affect trouble bit whatever method.
Mysterious Conundrum of Magic,Melissa Schaefer,,,2,The 11th year after Sentient Luggage,year -187 in the 12th month,Mended Drum: top shelve. 4m from the end,Price adult along team different lay.
Astounding Yarn of the Trolls,Principal Witch John Aguilar,,,3,The 11th year after Squid,year -431 in the 11th month,Mended Drum: bottom shelve. 4m from the start,Opportunity could collection sport say produce she store.
Eccentric Recital of the Trolls,Chief Scrivener Brandy Mendez,Tyler Bailey,year -405 in the 10th month,2,The 9th year after Seamstress's Guild,year -180 in the 11th month,Tower of Art: bottom shelve. 6m from the end,National speech seven she none seem heavy.
Bizarre Mystery of the Agatean Empire,Professor Rebecca Lee,John Lopez,year -243 in the 6th month,5,The 4th year after Silver Horde,year -055 in the 7th month,Dungeon Dimensions: middle shelve. 9m from the end,Why out game.
Astounding Revelation of the Lancre,Professor John Hunter,Mr. David Bautista,year 0107 in the 9th month,4,The 5th year after Patrician's Eyebrow,year 0640 in the 6th month,Restricted Section: bottom shelve. 3m from the start,Manage else sport authority help.
Remarkable Folklore of the Lancre,Foremost Patrician Jessica Howard,Mia Brown,year -375 in the 1st month,0,The 14th year after Assassin's Guild,year -017 in the 11th month,Great Hall: bottom shelve. 4m from the start,Responsibility difficult country factor sing goal activity.
Illustrious Yarn of the Trolls,Senior Guildmaster Brandon Garcia,,,42,The 1st year after Octarine Sunset,unknown,Mended Drum: bottom shelve. 3m from the start,Child window tax direction cover site instead understand.
Curious Parable of the Rincewind,Mastermagician Jessica Castro,,,7,The 6th year after Prawn,year 0543 in the 7th month,Great Hall: top shelve. 13m from the end,Tell high such past important series.
Fantastical Chronicle of the City Watch,Lead Alchemist Eric Cox,,,42,The 4th year after Invisible College,year 0509 in the 10th month,Tower of Art: bottom shelve. 10m from the start,Good figure huge spend trial.
Frightening Quest of the Trolls,Mastermagician Debra Kelly,John Cherry,year 0510 in the 5th month,3,The 7th year after Prawn,year 0928 in the 7th month,Great Hall: middle shelve. 12m from the end,Fall candidate recently there term necessary hospital set.
Ridiculous Conundrum of the Librarian,Eminent Thief Michael Todd,Anthony Sheppard,year -478 in the 7th month,0,The 11th year after Hedgehog,year 0187 in the 7th month,Tower of Art: bottom shelve. 12m from the end,Personal every cold dog class.
Bewitching Expedition of the Unseen University,Supreme Archchancellor Mason Phillips,,,5,The 13th year after Squid,year -349 in the 1st month,Dungeon Dimensions: bottom shelve. 2m from the end,Eight exist buy personal.
Hilarious Revelation of the Lancre,High Wizard of Unseen Tyler Williams,Michael Ryan,year 0245 in the 12th month,4,The 8th year after Golem Uprising,year 0458 in the 1st month,Tower of Art: top shelve. 7m from the start,Recognize control TV fear.
Enchanted Parable of the Lancre,Chief Scrivener Linda Reeves PhD,,,5,The year of Octarine Sunset,year 0875 in the 11th month,Restricted Section: bottom shelve. 4m from the start,Staff people describe must.
Enchanted Exploit of the Patrician,Principal Witch Annette Gonzalez,,,9,The 5th year after Seamstress's Guild,year 0020 in the 9th month,Mended Drum: middle shelve. 2m from the end,Mouth light affect history brother best.
Eccentric Yarn of the Lancre,Grandmaster of Guilds Andrea Martinez,Christina Travis,year -340 in the 8th month,2,The 1st year after Lancre Coven,year -178 in the 7th month,Restricted Section: bottom shelve. 14m from the start,Day quality customer agreement girl investment.
Perilous Revelation of the Librarian,Foremost Patrician Amanda Fletcher,Julia Smith,year -402 in the 4th month,8,The 14th year after Howondaland Expedition,year -105 in the 7th month,Tower of Art: top shelve. 5m from the start,Even rest poor movie chance.
Perilous Romance of the Patrician,Chief Scrivener David Smith,Lindsey Johnson,year -117 in the 6th month,8,The 7th year after Wizzard's Hat,year 0690 in the 1st month,Tower of Art: middle shelve. 7m from the start,Quickly money hotel bank eight past enough.
Bizarre Illusion of the Librarian,Chief Scrivener Megan Jones,Mason Collier,year -065 in the 4th month,4,The 8th year after Assassin's Guild,year 0542 in the 1st month,Dungeon Dimensions: middle shelve. 4m from the start,Entire draw player job.
Curious Revelation of the City Watch,High Wizard of Unseen Kathryn Silva DVM,Jennifer Moore,year -182 in the 10th month,4,The 1st year after Wizzard's Hat,year -172 in the 1st month,Great Hall: top shelve. 7m from the start,Draw quality finish end great along feeling.
Bewitching Conundrum of the Disc,Lead Alchemist Lori Marsh,,,7,The 1st year after Hogswatch Miracle,year 0166 in the 2nd month,Tower of Art: top shelve. 3m from the start,Event stock theory water stuff wonder reach range.
Ludicrous Yarn of the Witches,Grandmaster of Guilds Raymond Ramsey,,,5,The 1st year after Magic Bananas,year 0628 in the 10th month,Mended Drum: middle shelve. 5m from the end,Again security ground.
Mysterious Escapade of the Agatean Empire,Lead Alchemist Monica Brown,Adam Sanchez,year 0132 in the 8th month,3,The 12th year after Seamstress's Guild,year 0143 in the 4th month,Great Hall: middle shelve. 8m from the end,Capital society Mrs step base smile represent.
Eccentric Yarn of the Witches,Jennifer Arnold,Dean Snyder,year -160 in the 6th month,4,The 2nd year after Klatchian Coffee,year 0024 in the 7th month,Dungeon Dimensions: bottom shelve. 3m from the start,Must to shoulder happen stage.
Remarkable Adventure of the City Watch,Andrew Coleman,,,6,The 8th year after Knurd,year -481 in the 3rd month,Tower of Art: middle shelve. 3m from the start,Health off lose agree forget safe.
Bewildering Narrative of the Counterweight Continent,Chief Scrivener Marilyn Vasquez,,,6,The 6th year after Klatchian Coffee,year -214 in the 2nd month,Tower of Art: top shelve. 13m from the start,Law begin exactly use laugh day.
Ludicrous Chronicle of the Golems,Eminent Thief Amanda Hart,Patrick Williams,year -143 in the 11th month,1,The 9th year after Wizzard's Hat,year 0174 in the 6th month,Great Hall: top shelve. 6m from the end,Value political else management.
Curious Saga of the Trolls,Chief Scrivener Mr. Shawn Olsen,,,6,The 7th year after Quantum Weather Butterflies,year 0879 in the 2nd month,Mended Drum: bottom shelve. 6m from the end,Your during federal indicate.
Dauntless Narrative of the Trolls,Shawn Watkins,Karen Thomas,year -230 in the 9th month,6,The 12th year after Wizzard's Hat,year -056 in the 7th month,Great Hall: bottom shelve. 4m from the start,Bank true size base produce.
Unimaginable Exploit of the Rincewind,Chief Scrivener Dr. Holly Pineda,,,42,The 12th year after Seamstress's Guild,year -439 in the 2nd month,Great Hall: top shelve. 2m from the start,North almost explain his herself sure production face.
Bewildering Fable of the Agatean Empire,Professor Dawn Hampton,,,7,The 13th year after Magic Bananas,year -492 in the 7th month,Mended Drum: middle shelve. 10m from the start,Act seven play live weight place reason.
Dauntless Illusion of the Agatean Empire,Professor Caitlin Campbell,Patrick Schroeder,year -006 in the 4th month,7,The 2nd year after Bursar's Sanity,year 0093 in the 1st month,Great Hall: top shelve. 15m from the start,Improve there what first thus.
Enchanted Legend of the Hogfather,Mastermagician Brian Hale,,,9,The 3rd year after Mended Drum,year -113 in the 2nd month,Great Hall: middle shelve. 11m from the start,Street hit author debate parent.
Puzzling Fable of the Nac Mac Feegle,Senior Guildmaster Joshua Crosby,Daniel Wilkerson,year 0095 in the 7th month,4,The 4th year after Topsy-Turvy Times,year 0824 in the 7th month,Restricted Section: bottom shelve. 2m from the start,Page two agree whole say.
Illustrious Furlough of the Trolls,Senior Guildmaster Alicia Floyd,David Rowland,year -490 in the 5th month,6,The 14th year after Cabbage,year -409 in the 10th month,Dungeon Dimensions: bottom shelve. 11m from the start,Pm lose but community since.
Mysterious Fantasy of the Witches,High Wizard of Unseen Amy Johnson,Henry Randolph,year -380 in the 12th month,6,The 13th year after Assassin's Guild,year -227 in the 9th month,Dungeon Dimensions: bottom shelve. 10m from the start,Remain let something cultural generation guy Republican.
Unimaginable Legend of Magic,Lead Alchemist Allen Elliott,Kimberly Carrillo,year -335 in the 7th month,4,The 2nd year after Quantum Weather Butterflies,year -285 in the 5th month,Great Hall: top shelve. 4m from the end,Protect list purpose or throw sing toward sure.
Incredible Journey of the Clacks,Professor Mark Melton,Devin Chavez,year -073 in the 7th month,8,The 6th year after Librarian's Wrath,year 0232 in the 3rd month,Tower of Art: top shelve. 4m from the end,Speak reason marriage power someone brother manage.
Perilous Illusion of Magic,Senior Guildmaster Carmen Smith,,,8,The 6th year after Luggage,year 0208 in the 7th month,Dungeon Dimensions: bottom shelve. 6m from the start,Sea discussion popular grow billion each structure these.
Bizarre Adventure of the Counterweight Continent,Imperial Assassin Christopher Luna,Kelly Johnson,year -068 in the 1st month,0,The 3rd year after Amazing Maurice,year 0083 in the 6th month,Mended Drum: top shelve. 10m from the start,More south I student.
Bewildering Anecdote of the Golems,Chief Scrivener Christopher Summers,,,5,The year of Octarine Sunset,year 0146 in the 1st month,Tower of Art: bottom shelve. 8m from the start,Including tell person significant family.
Astounding Escapade of the Agatean Empire,Principal Witch Abigail Lowe,,,2,The 12th year after Invisible College,year -088 in the 4th month,Great Hall: top shelve. 5m from the start,Real whether bed future travel.
Comical Quest of the Witches,Mastermagician Tammy Phillips,Michelle Dickerson,year -017 in the 3rd month,42,The year of Lancre Coven,year 0101 in the 9th month,Dungeon Dimensions: bottom shelve. 5m from the start,May magazine young put.
Delightful Escapade of the Wizards,Christopher Blankenship,,,2,The 12th year after Crystal Goblins,year -438 in the 10th month,Dungeon Dimensions: bottom shelve. 13m from the end,Allow someone address our.
Unimaginable Journey of the Counterweight Continent,Principal Witch Angel Evans,Anthony Gross,year -455 in the 10th month,9,The 13th year after Imp-powered Devices,year 0371 in the 7th month,Tower of Art: bottom shelve. 1m from the start,Official interview dream artist mention.
Illustrious Mystery of the Dungeon Dimensions,High Wizard of Unseen Alexandra Hughes,Carolyn David,year 0727 in the 1st month,9,The 11th year after Howondaland Expedition,year 0766 in the 6th month,Dungeon Dimensions: bottom shelve. 12m from the end,Card central get road somebody.
Delightful Furlough of the Librarian,Grandmaster of Guilds Angela Villa,,,5,The year of Seamstress's Secrets,unknown,Tower of Art: top shelve. 11m from the end,Enough anything box beautiful physical speak.
Amazing Chronicle of the Agatean Empire,Principal Witch Stephen Rose,,,1,The 3rd year after Seamstress's Guild,year 0080 in the 7th month,Mended Drum: bottom shelve. 2m from the start,Type hand season none tough social project.
Amazing Illusion of Magic,Grandmaster of Guilds Anthony Reed,Logan White,year -153 in the 10th month,6,The 12th year after Golem Uprising,year 0454 in the 8th month,Restricted Section: top shelve. 4m from the end,Father account weight old mean reveal against.
Perilous Revelation of the Disc,Chief Scrivener Rachel Black,,,3,The 4th year after Magic Bananas,year -224 in the 1st month,Tower of Art: bottom shelve. 15m from the start,Among Mr note.
Wondrous Myth of the Counterweight Continent,Foremost Patrician Emily Wagner,Alicia Parsons,year -426 in the 10th month,5,The year of Quantum Weather Butterflies,year 0758 in the 2nd month,Dungeon Dimensions: bottom shelve. 9m from the start,Well mind PM rock concern always player.
Comical Journey of the Wizards,William Williams,Jason Williams,year -212 in the 2nd month,2,The 12th year after Bursar's Sanity,year -114 in the 7th month,Dungeon Dimensions: middle shelve. 4m from the start,Might after court day nature.
Remarkable Yarn of the Dungeon Dimensions,Kathryn Carter,,,42,The 11th year after Prawn,year 0358 in the 4th month,Great Hall: bottom shelve. 5m from the start,Someone process along leader drop office.
Ridiculous Folklore of the Librarian,Senior Guildmaster Justin Moore,,,42,The 5th year after Seamstress's Secrets,year 0541 in the 8th month,Tower of Art: bottom shelve. 7m from the end,Others effect determine already these crime.
Enchanted Expedition in Ankh-Morpork,Matthew Donovan,Mitchell Reyes,year -137 in the 12th month,0,The 2nd year after Howondaland Expedition,year 0135 in the 7th month,Great Hall: bottom shelve. 8m from the start,Between much concern south friend read choice past.
Phantasmal Parable of the Wizards,Lead Alchemist Matthew Carpenter,Veronica Peterson,year 0806 in the 7th month,4,The 9th year after Mended Drum,year 0838 in the 10th month,Great Hall: middle shelve. 8m from the end,Trade during reflect suggest.
Delightful Journey of the Death,Supreme Archchancellor Marcus Hill,Jessica Smith,year 0580 in the 4th month,6,The 6th year after Klatchian Coffee,year 0920 in the 4th month,Tower of Art: top shelve. 14m from the end,Build occur than wrong minute late.
Dreadful Exploit of the Librarian,High Wizard of Unseen Jessica Guzman,,,8,The 3rd year after Squid,year -198 in the 6th month,Great Hall: middle shelve. 9m from the end,Business large point involve ok benefit top computer.
Eccentric Adventure of the Unseen University,Supreme Archchancellor Olivia Jacobs,,,3,The 13th year after Seamstress's Secrets,year -369 in the 7th month,Restricted Section: middle shelve. 6m from the start,Child factor cell.
Delightful Fable of the Rincewind,Lisa Myers,Jennifer Daniels,year -075 in the 12th month,2,The 10th year after Seamstress's Secrets,year 0829 in the 7th month,Tower of Art: middle shelve. 14m from the end,Whatever read difficult.
Eccentric Fable in Ankh-Morpork,Eminent Thief Alexa Burke,Donna Green DDS,year -483 in the 3rd month,8,The 12th year after Fruitbat,year -249 in the 7th month,Dungeon Dimensions: bottom shelve. 15m from the start,Stock should voice light bed hotel hospital.
Dauntless Journey of Magic,Robert Brown,Shane Briggs,year -029 in the 11th month,7,The 13th year after Guild Wars,year 0079 in the 5th month,Great Hall: top shelve. 4m from the start,Affect get career particular.
Puzzling Legend of the Disc,Imperial Assassin Cheryl Knox,Hannah Griffith,year -201 in the 5th month,9,The 8th year after Fruitbat,year 0277 in the 9th month,Restricted Section: middle shelve. 12m from the start,Cell ever never.
Fanciful Journey of the Hogfather,Eminent Thief William Morrow,Alyssa Bailey,year 0572 in the 11th month,9,The 11th year after Luggage,year 0657 in the 7th month,Dungeon Dimensions: top shelve. 2m from the end,Leave watch relate like fly any more.
Majestic Chronicle of the Golems,Professor Richard Perkins,,,3,The 14th year after Fruitbat,year 0374 in the 5th month,Mended Drum: middle shelve. 3m from the start,Lawyer activity tend media follow.
Delightful Conundrum of the Hogfather,Ms. Krista Wright,Kenneth Larson,year 0054 in the 8th month,4,The year of Prawn,year 0401 in the 6th month,Dungeon Dimensions: middle shelve. 1m from the start,Go couple music city house bag too.
Curious Fantasy of the Nac Mac Feegle,Grandmaster of Guilds Carol Lyons,John Hood,year 0065 in the 1st month,1,The 11th year after Fruitbat,year 0218 in the 7th month,Restricted Section: top shelve. 1m from the start,Various not not matter test add carry anyone.
Peculiar Episode of the Wizards,Mastermagician Jordan Long,,,6,The 10th year after Topsy-Turvy Times,year 0267 in the 12th month,Tower of Art: middle shelve. 13m from the start,Child option while generation.
Remarkable Conundrum of Magic,Kenneth Allen,Michael Munoz,year -388 in the 7th month,4,The 5th year after Mended Drum,year -343 in the 11th month,Dungeon Dimensions: middle shelve. 14m from the end,Personal different education standard interview himself candidate.
Comical Folklore of Magic,Eminent Thief Thomas French,Rodney Sullivan,year -284 in the 1st month,6,The 4th year after Lancre Coven,year -131 in the 12th month,Great Hall: top shelve. 12m from the start,Congress right reflect.
Mysterious Yarn of the Disc,Sandra Kim,Brian French,year -202 in the 9th month,4,The 5th year after Seamstress's Secrets,year 0633 in the 9th month,Mended Drum: top shelve. 8m from the start,Charge town air bad.
Bizarre Exploit of the Witches,Professor Timothy Decker MD,Mark Ortega,year -006 in the 1st month,6,The 12th year after Klatchian Coffee,unknown,Dungeon Dimensions: top shelve. 13m from the end,Close speak hear technology.
Phantasmal Expedition of the Hogfather,Grandmaster of Guilds Joan Krause,Terry Wilson,year 0625 in the 10th month,1,The 13th year after Silver Horde,year 0823 in the 11th month,Restricted Section: middle shelve. 13m from the end,Within late raise role each.
Unimaginable Parable of the Golems,Professor Lawrence Graves,,,5,The 2nd year after Fruitbat,year 0532 in the 6th month,Dungeon Dimensions: middle shelve. 6m from the end,Manage first him site politics serve sell.
Phantasmal Anecdote of the Death,Eminent Thief Timothy Glass,,,6,The 2nd year after Imp-powered Devices,year 0837 in the 5th month,Mended Drum: middle shelve. 12m from the end,A yard inside.
Comical Journey of the Counterweight Continent,John Turner,,,1,The 7th year after Patrician's Eyebrow,year 0928 in the 10th month,Great Hall: bottom shelve. 2m from the start,Resource new which live allow wait.
Perilous Chronicle of the Patrician,Lead Alchemist Jennifer Wright,Russell Cole,year -060 in the 7th month,5,The 5th year after Lancre Coven,year 0472 in the 3rd month,Restricted Section: middle shelve. 9m from the start,Opportunity drop process difference.
Dreadful Tale of the Nac Mac Feegle,Supreme Archchancellor Jeanette Brown,,,7,The 4th year after Knurd,year 0494 in the 4th month,Great Hall: middle shelve. 15m from the end,Beyond six energy work throw herself.
Hilarious Saga of the City Watch,Grandmaster of Guilds Nicholas Underwood,Angela Berry,year 0948 in the 11th month,2,The 4th year after Patrician's Eyebrow,unknown,Restricted Section: top shelve. 14m from the start,Maintain administration purpose.
Peculiar Furlough of the Dungeon Dimensions,Denise Berg,Cathy Rojas,year 0149 in the 1st month,1,The 4th year after Octarine Sunset,year 0548 in the 2nd month,Great Hall: top shelve. 7m from the end,Plant food agreement poor.
Perilous Narrative in Ankh-Morpork,Professor Casey Thomas,,,5,The 8th year after Silver Horde,year 0126 in the 9th month,Tower of Art: top shelve. 8m from the end,Subject name me star five trip ok rate.
Unimaginable Fantasy of the Librarian,High Wizard of Unseen Jessica Martinez,,,7,The 12th year after Fruitbat,year 0062 in the 3rd month,Restricted Section: bottom shelve. 1m from the end,Factor cost heavy speak church unit.
Amazing Allegory of the Hogfather,Principal Witch Matthew Gray,Brittany Strickland,year -172 in the 10th month,5,The 5th year after Klatchian Coffee,year 0966 in the 11th month,Tower of Art: top shelve. 4m from the end,Specific majority down political.
Fanciful Mystery of the Clacks,Senior Guildmaster Kelly Rhodes,Kendra Sanford,year 0695 in the 10th month,1,The 4th year after Wizzard's Hat,year 0938 in the 7th month,Tower of Art: middle shelve. 6m from the start,Appear these west.
Frightening Folklore of the Librarian,Lead Alchemist Lisa Mayer,David Scott,year -120 in the 11th month,9,The 9th year after Squid,year 0141 in the 11th month,Tower of Art: bottom shelve. 7m from the end,New try idea.
Ridiculous Saga of the Death,Principal Witch Ronald Giles,Katherine Bennett,year -398 in the 2nd month,6,The 7th year after Howondaland Expedition,year 0200 in the 9th month,Restricted Section: top shelve. 8m from the end,Husband paper difference character do.
Glorious Expedition of the Clacks,Foremost Patrician Shelby Cummings,,,3,The 1st year after Mended Drum,year 0529 in the 7th month,Dungeon Dimensions: top shelve. 14m from the start,Professional force much board form.
Mysterious Saga of the Counterweight Continent,Lead Alchemist Paula Barber,Angela Dawson,year -481 in the 1st month,5,The 6th year after Seamstress's Guild,year 0225 in the 7th month,Great Hall: bottom shelve. 1m from the end,Entire data upon decide teacher.
Wondrous Lore of the Agatean Empire,Mastermagician Amanda Schwartz,,,0,The 4th year after Wizzard's Hat,year -252 in the 1st month,Mended Drum: middle shelve. 15m from the start,Board present Democrat table.
Illustrious Quest of the Disc,Lead Alchemist Henry Gaines,,,42,The 3rd year after Librarian's Wrath,unknown,Great Hall: top shelve. 10m from the start,Marriage certain front himself care with reason government.
Majestic Parable of the Hogfather,Andrea Lewis,Crystal Roberts,year -226 in the 7th month,5,The 4th year after Amazing Maurice,year 0835 in the 5th month,Dungeon Dimensions: bottom shelve. 10m from the start,Bank car child sell sort keep.
Ludicrous Parable of the City Watch,Principal Witch Kevin Clayton,,,4,The 14th year after Golem Uprising,year 0305 in the 12th month,Mended Drum: middle shelve. 6m from the start,Get worker several war half talk.
Unbelievable Saga of the Librarian,Chief Scrivener Andrew Li,,,4,The 3rd year after Lancre Coven,year -264 in the 7th month,Restricted Section: top shelve. 15m from the start,Find form view reach pretty.
Puzzling Fable of Magic,High Wizard of Unseen Brenda Barrera,,,2,The 5th year after Assassin's Guild,year 0987 in the 7th month,Dungeon Dimensions: bottom shelve. 15m from the start,Want class street also.
Hilarious Odyssey of Magic,Eminent Thief Linda Morris,,,8,The 4th year after Bursar's Sanity,year 0336 in the 5th month,Dungeon Dimensions: bottom shelve. 11m from the start,Against table investment wait item east voice.
Enchanted Folklore of the Wizards,High Wizard of Unseen Sarah Johnson,,,42,The 12th year after Bursar's Sanity,year 0179 in the 7th month,Dungeon Dimensions: middle shelve. 7m from the start,Early study special response.
Majestic Parable of the Hogfather,Jessica Clark,,,6,The 13th year after Golem Uprising,year 0292 in the 9th month,Great Hall: top shelve. 8m from the end,Hope central when people view.
Dauntless Quest of the City Watch,Senior Guildmaster Lisa Mack,Robert Butler Jr.,year -328 in the 11th month,4,The 4th year after Seamstress's Secrets,year 0482 in the 11th month,Tower of Art: middle shelve. 1m from the end,Company campaign Mr around.
Bewitching Tale of the Wizards,Mastermagician Douglas Ellis,Todd Wheeler,year -491 in the 7th month,3,The 9th year after Knurd,year -392 in the 9th month,Restricted Section: middle shelve. 8m from the start,Cause town show story.
Dauntless Tale of Magic,Principal Witch Kathy Montgomery,,,6,The 8th year after Topsy-Turvy Times,year 0918 in the 3rd month,Great Hall: bottom shelve. 10m from the start,High ability respond least take different mention sit.
Bewitching Saga of the City Watch,Professor Alexis Martinez,Mr. Dustin Fisher,year 0295 in the 9th month,9,The 3rd year after Librarian's Wrath,year 0297 in the 10th month,Restricted Section: top shelve. 6m from the end,Probably participant enjoy guy plant may develop.
Delightful Journey of the Lancre,Senior Guildmaster Jeremy Brown,,,0,The 5th year after Fruitbat,year -165 in the 7th month,Mended Drum: bottom shelve. 14m from the start,Direction myself remain very high democratic small.
Bewildering Chronicle of the Disc,Senior Guildmaster Linda Williams,Catherine Hernandez,year -442 in the 3rd month,8,The 3rd year after Assassin's Guild,year 0031 in the 11th month,Great Hall: middle shelve. 5m from the start,Particular see firm.
Improbable Saga of the City Watch,Chief Scrivener Alejandro Carpenter,Samuel Rose,year -401 in the 7th month,1,The 10th year after Wizzard's Hat,year -028 in the 6th month,Great Hall: bottom shelve. 2m from the end,Soon force strategy fact.
Astounding Fantasy of the Witches,Imperial Assassin Kelli Jenkins,Meghan Bowers,year -200 in the 7th month,7,The 9th year after Wizzard's Hat,year 0225 in the 6th month,Tower of Art: bottom shelve. 8m from the end,Full dinner sell side money throw.
Ridiculous Furlough of the Nac Mac Feegle,Foremost Patrician Karen Watson,Jason Khan,year 0405 in the 7th month,1,The 13th year after Quantum Weather Butterflies,year 0765 in the 9th month,Great Hall: middle shelve. 11m from the end,Treatment thing fine effort good.
Glorious Legend in Ankh-Morpork,Professor Laurie Palmer,,,8,The 9th year after Hogswatch Miracle,year -120 in the 6th month,Restricted Section: middle shelve. 3m from the end,Officer general no painting fight certain number.
Amazing Anecdote of the Trolls,Lead Alchemist Jennifer Duke,Jacob Evans,year 0093 in the 7th month,0,The 9th year after Bursar's Sanity,year 0816 in the 7th month,Restricted Section: middle shelve. 9m from the start,Himself anything modern eye start often.
Unimaginable Quest of the City Watch,Senior Guildmaster Thomas Woods,Christine Jones,year -470 in the 8th month,42,The 13th year after Crystal Goblins,year 0121 in the 11th month,Tower of Art: bottom shelve. 2m from the start,Tonight as soon agent.
Comical Journey of the Agatean Empire,Chief Scrivener Emma Krueger,,,5,The 6th year after Invisible College,year 0443 in the 3rd month,Great Hall: middle shelve. 15m from the start,List white it over compare thousand same.
Comical Lore of the Patrician,Senior Guildmaster Tina Wilson,,,7,The 14th year after Talking Dog,year -443 in the 7th month,Great Hall: top shelve. 15m from the start,Evening anything see stock.
Phantasmal Adventure of the Trolls,Principal Witch Andrew Hanson,Amber Luna,year 0469 in the 2nd month,4,The 8th year after Seamstress's Secrets,year 0886 in the 7th month,Mended Drum: middle shelve. 4m from the end,Believe respond past purpose difference either.
Frightening Fantasy in Ankh-Morpork,Chief Scrivener Melissa Phillips,,,4,The 8th year after Talking Dog,year 0487 in the 12th month,Restricted Section: top shelve. 1m from the start,Detail look heavy team summer.
Perilous Expedition of the Librarian,Supreme Archchancellor Lance Davidson,,,0,The 12th year after Wizzard's Hat,year -488 in the 9th month,Great Hall: middle shelve. 9m from the end,Less little form adult positive meet set.
Illustrious Epic of the Dungeon Dimensions,Professor Joshua Cline,Jonathan Farley,year 0090 in the 5th month,0,The 9th year after Octarine Sunset,year 0755 in the 4th month,Tower of Art: top shelve. 6m from the end,Somebody agree remember son author.
Bewitching Exploit in Ankh-Morpork,Eminent Thief Angelica Calhoun,,,8,The 1st year after Sentient Luggage,year 0659 in the 12th month,Tower of Art: bottom shelve. 2m from the end,Coach trade sister mind example leader add.
Eccentric Saga of the Trolls,High Wizard of Unseen Jessica Landry,,,8,The 14th year after Klatchian Coffee,year 0137 in the 8th month,Dungeon Dimensions: bottom shelve. 6m from the end,Economy power early quite choose.
Frightening Saga of the Nac Mac Feegle,Foremost Patrician Amanda Nguyen,,,5,The 7th year after Octarine Sunset,year -284 in the 4th month,Great Hall: middle shelve. 7m from the end,Sport seven set ball with rule.
Fanciful Mystery of the Unseen University,Principal Witch Rebecca Huerta,Alicia Smith,year -485 in the 7th month,0,The 1st year after Wizzard's Hat,year -477 in the 11th month,Restricted Section: middle shelve. 12m from the end,Large out particular than offer they blood beat.
Delightful Episode of the Dungeon Dimensions,Foremost Patrician Rebecca Mitchell,,,7,The 8th year after Guild Wars,year 0775 in the 4th month,Great Hall: middle shelve. 15m from the end,Series significant money economic wait author available then.
